item_id,name,price,category,description,merchant_id,date_listed
E2DR2,Housing 83162006,545.55,Housing,For everyday office use,A0B31,6/7/2022
49ZYJ,Housing 856135742,577.16,Housing,,AXYFV,1/14/2022
M7POV,Housing 82250377,994.7,Housing,,QR19G,7/18/2022
MVX6K,Housing 82553215,75.62,Housing,for everyday use,LQ8DW,5/17/2022
EV1F3,Housing 75275916,440.5,Housing,,R8LB9,1/14/2022
VM7WW,Housing 754164616,809.2,Housing,Reams of high-bandwidth DDR4 RAM,PVB4C,3/20/2022
2XWI9,Housing 951136991,435.24,Housing,,CHM29,4/20/2022
9UYJN,Housing 820192815,1274.61,Housing,,D7CK2,7/18/2022
6MTJ9,Housing 65881121,814.72,Housing,,36SYH,6/30/2022
UJC9B,Housing 7548605,121.6,Housing,for everyday use,KGD5Z,8/27/2022
C3UOQ,Housing 839178784,1645.5,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",A8U7K,4/22/2022
WDFYE,Housing 75962873,193.62,Housing,,BX2PI,3/24/2022
3U4UW,Housing 97516724,1673.7,Housing,,AU687,7/20/2022
UNKEK,Housing 996121943,841.59,Housing,,P283H,10/16/2022
JO2LS,Housing 673164256,965.37,Housing,100% Synthetic,1E2BT,10/27/2022
3FZJQ,Housing 76674813,15.94,Housing,,VX9SU,1/31/2022
W1027,Housing 76471426,1066.1,Housing,,OPGY0,5/17/2022
A7YVL,Housing 9457884,839.91,Housing,,5H4D3,4/5/2022
U0IK1,Housing 807110323,1966.1,Housing,,6IPKS,10/3/2022
2A0DQ,Housing 61951299,1394.33,Housing,100% Synthetic,Y4HF3,1/27/2022
YCE2Z,Housing 81381675,52.36,Housing,Suitable for all skin types,0YU61,5/1/2022
FGQDK,Housing 77040829,1005.46,Housing,make a great gift for kids 3 to 7 years olds,YA5CE,4/21/2022
7PHA0,Housing 909173234,1344.56,Housing,Cushioning provides excellent shock absorption,ZST93,3/1/2022
KCFRG,Housing 96487789,1510.17,Housing,,F1G3J,2/12/2022
MFXFN,Housing 922179438,567.63,Housing,For everyday office use,QMHWG,9/7/2022
BYT8S,Housing 584171925,781.7,Housing,,DW4SG,5/26/2022
SLOVO,Housing 84461216,54.3,Housing,Cushioning provides excellent shock absorption,Z6UIX,6/13/2022
VF5GB,Housing 731191257,1789.83,Housing,,N8P04,9/12/2022
2GXF9,Housing 914159599,55.89,Housing,make a great gift for kids 3 to 7 years olds,DNCLE,9/25/2022
Q1AA6,Housing 87082769,87.8,Housing,,ZTLSE,10/19/2022
PI8QJ,Housing 60023836,590.3,Housing,For your lovely pet,QCIEZ,10/19/2022
6JZMO,Housing 961131722,933,Housing,make a great gift for kids 3 to 7 years olds,2SZAM,7/4/2022
LSP9N,Housing 965121278,1634.6,Housing,,XMWLA,3/15/2022
IHHDW,Housing 83385015,634.52,Housing,,0V5C9,5/2/2022
8JLCH,Housing 92222500,548.21,Housing,,SAZF9,7/10/2022
YZ6S4,Housing 65720900,493.24,Housing,make a great gift for kids 3 to 7 years olds,YA5CE,4/26/2022
LSYV9,Housing 936104771,1223.65,Housing,,F1I7H,2/18/2022
H9110,Housing 618166079,838.2,Housing,,L3VKI,9/16/2022
Z95QI,Housing 660110506,1820.8,Housing,【11th Gen Intel Core i5-1135G7】,8VI0V,3/26/2022
Z8ARP,Housing 90833994,1795.1,Housing,Set of 10,LAAAV,9/28/2022
T8QOI,Housing 946107881,1070.18,Housing,Professional quality at its best – the best materials to update your cooking!,ZTLSE,5/10/2022
OOIFY,Housing 577188074,346.73,Housing,Reams of high-bandwidth DDR4 RAM,X342E,3/28/2022
XG4KB,Housing 86180010,646.36,Housing,,VZNU6,4/20/2022
ZGG2B,Housing 74788076,1156.83,Housing,,0R2KU,4/2/2022
0I4DM,Housing 60077222,1144.92,Housing,,FWVAJ,8/6/2022
4FS7I,Housing 847124145,333.65,Housing,,WX9FX,6/8/2022
8ZJ55,Housing 99271551,1322.7,Housing,100% Synthetic,FFZPQ,5/7/2022
BR071,Housing 99741923,1444.23,Housing,"Unbox the package to find a soft, plush, sparkly doll!",EJ8AM,10/9/2022
B36PA,Housing 505157868,1122.5,Housing,,L4VJ1,6/28/2022
VPE2I,Housing 984194707,1353.95,Housing,"【Display and Graphics】17.3 diagonal, FHD ",VKCWC,4/9/2022
J7Y87,Housing 68030338,177.36,Housing,,QWEC7,3/6/2022
R9TLZ,Housing 80229283,373.57,Housing,For your lovely pet,HSQAJ,5/16/2022
ISXVE,Housing 51695280,517.74,Housing,100% Synthetic,L18JT,6/22/2022
CZOBG,Housing 934152258,704.41,Housing,,XYUHX,6/26/2022
W6ZIJ,Housing 71270830,1643.4,Housing,,SGSRE,7/18/2022
F6BXN,Housing 79148458,888.44,Housing,,L20JI,8/10/2022
KQ51N,Housing 8156214,1677.45,Housing,For your lovely pet,G6G4D,8/9/2022
673SB,Housing 50993239,1421.14,Housing,,HFAMO,2/23/2022
OH4VG,Housing 55051310,308.58,Housing,,HSQAJ,10/10/2022
HJVGW,Housing 717147765,508.62,Housing,,G9Q2G,6/24/2022
ET0Q8,Housing 70839382,843.45,Housing,Cushioning provides excellent shock absorption,ARWEB,2/15/2022
KHDNV,Housing 77576771,1032.81,Housing,,670AO,2/8/2022
QLJFT,Housing 644134633,75,Housing,Professional quality at its best – the best materials to update your cooking!,6RCV4,7/12/2022
R9OYW,Housing 51588586,1766.7,Housing,,SGSRE,1/18/2022
W31RE,Housing 72825928,1402.99,Housing,,3KFLS,2/9/2022
Z8UF9,Housing 59841835,731.29,Housing,Professional quality at its best – the best materials to update your cooking!,8MZDC,5/26/2022
T9PYN,Housing 776115717,59.4,Housing,for everyday use,5PQAC,3/24/2022
8GS7P,Housing 82239447,265,Housing,100% Cotton,0V5C9,8/11/2022
NYA08,Housing 58755451,443.92,Housing,,9X7GU,3/24/2022
Y8T6X,Housing 613175000,1191.66,Housing,for everyday use,WJRLZ,5/29/2022
U7NUT,Housing 643176858,214.66,Housing,One of a kind stainless steel,Q9QW3,8/13/2022
Y0KF1,Housing 91611983,426.76,Housing,,9CR7S,2/28/2022
L0XTQ,Housing 554195018,1767.76,Housing,For your lovely pet,G06XS,5/15/2022
3WA1Z,Housing 83791139,420.17,Housing,,RVZRR,8/22/2022
ZWY64,Housing 76892297,132.34,Housing,100% Synthetic,PB6Z6,7/1/2022
3B3ZI,Housing 92795420,203.88,Housing,,1H9CX,9/10/2022
4Y2P0,Housing 73544900,1535.56,Housing,Professional quality at its best – the best materials to update your cooking!,FXVJ8,10/25/2022
UPE1Y,Housing 92270852,1928.7,Housing,Set of 10,BQ74R,5/26/2022
ABCAG,Housing 91662339,102.6,Housing,Imported,BW3MU,1/24/2022
YNWKP,Housing 79171058,95.9,Housing,,W3UYZ,9/7/2022
7UZEX,Housing 64429835,934.88,Housing,One of a kind stainless steel,O83AN,8/8/2022
4B1IT,Housing 640104528,914.48,Housing,,8LJTP,5/30/2022
I8RSU,Housing 840116765,1042.59,Housing,Reams of high-bandwidth DDR4 RAM,G6UPG,7/3/2022
TKG2X,Housing 65845486,1284.1,Housing,For your lovely pet,HSQAJ,8/22/2022
N48HZ,Housing 75753647,1288.73,Housing,For your lovely pet,6LV2R,8/15/2022
9EH4E,Housing 798166142,1149.8,Housing,For everyday office use,KR138,7/11/2022
U1MPE,Housing 82253898,695.55,Housing,,GV6M6,8/23/2022
T2B88,Housing 878138880,1536.11,Housing,Set of 10,3RNZG,3/7/2022
NQRUI,Housing 88152983,1266.83,Housing,,1149O,8/25/2022
NN99C,Housing 60557411,1364.43,Housing,For your lovely pet,Q0UI3,5/19/2022
91QWU,Housing 791190901,1116.78,Housing,for everyday use,ISPDE,5/10/2022
VQJ4W,Housing 883185078,1039.16,Housing,,7W8YE,10/26/2022
FAPD7,Housing 65327692,1687.79,Housing,For everyday office use,6WQ8P,3/18/2022
VIQ7M,Housing 51456421,721.86,Housing,,G6UPG,6/24/2022
3X6LA,Housing 89051196,569.6,Housing,Set of 12,1MXH9,10/27/2022
BPDMJ,Housing 615148115,987.62,Housing,,A5WQ0,6/16/2022
HNTRA,Housing 69873864,1040.1,Housing,,152MD,7/15/2022
JMV3R,Housing 75333543,1699.88,Housing,Set of 10,HFAMO,3/16/2022
0LK9J,Housing 59562834,80.2,Housing,,P8UM4,1/28/2022
VL951,Housing 544101349,1240.4,Housing,For your lovely pet,UP16N,1/4/2022
ZCD8O,Housing 747158468,1541.53,Housing,,142WW,10/28/2022
C802K,Housing 924106664,421.79,Housing,,LJNGC,1/16/2022
ETSBL,Housing 77313387,712.5,Housing,Reams of high-bandwidth DDR4 RAM,8VI0V,9/26/2022
XTT8H,Housing 99020678,922.99,Housing,Professional quality at its best – the best materials to update your cooking!,Y10ZO,4/24/2022
QLZVW,Housing 96681379,428.81,Housing,Machine Wash,152MD,6/27/2022
WN1R6,Housing 861152918,821.61,Housing,,0QEPM,6/1/2022
OWOR7,Housing 56753233,1315.9,Housing,,QXXKB,7/16/2022
I1PDY,Housing 56638099,1256.67,Housing,,4MSI6,4/5/2022
AWZRZ,Housing 57520229,1060.6,Housing,,QN99Y,5/8/2022
QUN7X,Housing 76168234,1381.44,Housing,,QMHWG,6/14/2022
HT61B,Housing 945120370,806.15,Housing,,XWXLZ,1/28/2022
CS6OM,Housing 699172129,1338.98,Housing,For your lovely pet,1HBQW,2/14/2022
QO8TL,Housing 9876754,525.66,Housing,,W7QGR,9/15/2022
MMLE3,Housing 8874397,1804.16,Housing,,3AFOH,1/16/2022
NMCS5,Housing 56539903,372.42,Housing,,C9XKL,10/29/2022
TVIK2,Housing 619199537,1177.54,Housing,Reams of high-bandwidth DDR4 RAM,FYQCT,10/24/2022
GOMSF,Housing 576110921,11.82,Housing,,ARQJD,6/26/2022
8BMY4,Housing 817125724,1228.19,Housing,,GLVQG,1/31/2022
X3LHT,Housing 97963478,680.66,Housing,,JWXSS,6/25/2022
NOMII,Housing 98777333,805.8,Housing,,7ERSM,2/19/2022
Z85FL,Housing 89066814,162.14,Housing,One of a kind stainless steel,YDZC3,3/15/2022
JFKKZ,Housing 66582493,621,Housing,,3KFLS,4/14/2022
CI9IY,Housing 929131339,639.9,Housing,,IJ61L,8/4/2022
ZS4W0,Housing 889108708,456.79,Housing,Professional quality at its best – the best materials to update your cooking!,AU687,1/13/2022
JY4FT,Housing 785132451,1714.23,Housing,For your lovely pet,3S3MN,5/19/2022
ZEQVK,Housing 565106685,1336.2,Housing,100% Synthetic,D73LI,4/19/2022
VKT7O,Housing 578164003,1903.29,Housing,,4DGUK,5/28/2022
E0008,Housing 803103474,1430.92,Housing,,8X3PV,8/26/2022
1XH12,Housing 861199872,1222.32,Housing,,7VWUB,3/9/2022
4CZLC,Housing 780511,1344.28,Housing,,JY3X4,3/30/2022
ZCNJT,Housing 92039778,725.13,Housing,for everyday use,IH8AP,3/7/2022
T30XR,Housing 981135867,1235.7,Housing,,FFBXJ,7/5/2022
MW9WK,Housing 55937257,571.94,Housing,,4FD3N,6/4/2022
L6Y82,Housing 546159069,1548.99,Housing,,6ZG2P,10/8/2022
FF9UY,Housing 93646341,1002.6,Housing,,8VI0V,4/1/2022
HTCXX,Housing 857112313,1818.18,Housing,Cushioning provides excellent shock absorption,9CR7S,2/6/2022
N16MT,Housing 791158164,1716.85,Housing,,FUAY0,4/24/2022
93LFT,Housing 99167570,1829.4,Housing,Professional quality at its best – the best materials to update your cooking!,MRY5A,3/22/2022
FS21H,Housing 961156772,1449.11,Housing,,BJLLH,5/7/2022
1ST10,Housing 9275743,1382.34,Housing,,XU609,8/20/2022
BWNP9,Housing 819196791,1021.88,Housing,,MRY5A,9/3/2022
CZ9NP,Housing 688137054,1706.58,Housing,,6GSGP,8/26/2022
YRXZE,Housing 94645980,410.83,Housing,Professional quality at its best – the best materials to update your cooking!,0BMS5,5/8/2022
3MFED,Housing 54913583,1066,Housing,,4UMXE,1/8/2022
Z6D71,Housing 646167390,454,Housing,【11th Gen Intel Core i5-1135G7】,08WHX,5/25/2022
1KSK9,Housing 739104941,1583.26,Housing,,C78AR,4/28/2022
7GDY3,Housing 968125135,407.6,Housing,For everyday office use,YFIBA,5/23/2022
1GR3D,Housing 594135474,227.46,Housing,One of a kind stainless steel,3KLP3,3/5/2022
QZD4N,Housing 90343397,743.76,Housing,make a great gift for kids 3 to 7 years olds,AZB2M,2/12/2022
4YH6I,Housing 67499893,410.45,Housing,"Unbox the package to find a soft, plush, sparkly doll!",NKKLD,3/14/2022
5RIL6,Housing 615165675,196.6,Housing,,5NRYI,6/11/2022
XUPWS,Housing 75944820,1581.34,Housing,for everyday use,CJZRT,7/21/2022
XEL1N,Housing 7891807,666.21,Housing,"【Display and Graphics】17.3 diagonal, FHD ",CHM29,1/23/2022
D3QEY,Housing 541119541,1131.52,Housing,One of a kind stainless steel,VWQZC,5/31/2022
MQ6D2,Housing 623151923,156.6,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",JY3X4,7/2/2022
Q8A48,Housing 78158229,41.93,Housing,Set of 12,R8LB9,4/26/2022
L9P3N,Housing 813113259,1548.95,Housing,,SB3L6,9/28/2022
K7LD6,Housing 91366858,1803.36,Housing,,FZ6BO,3/5/2022
V4VEP,Housing 71358533,1324.38,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",7ERSM,7/26/2022
RVBZ9,Housing 92286426,1051.7,Housing,,SW1FA,1/25/2022
AATWP,Housing 913116044,768.35,Housing,,K2VIU,8/16/2022
8MQ4Y,Housing 879178280,1118.92,Housing,Set of 10,MRY5A,7/19/2022
TL0NY,Housing 578117179,1862.84,Housing,,FQUO1,4/12/2022
JGE5I,Housing 87240339,1846.3,Housing,,7CIPO,4/27/2022
F5Q0E,Housing 681152815,1833.28,Housing,100% Synthetic,TJX73,6/1/2022
BSIDP,Housing 84557725,956.36,Housing,for everyday use,RJWPA,3/31/2022
7J8XY,Housing 84317454,1290.6,Housing,,NCDRU,5/29/2022
2NI49,Housing 545196766,123.65,Housing,,Y4RHZ,4/24/2022
5L8TN,Housing 71315331,774.5,Housing,,Q1X68,2/16/2022
55R6G,Housing 728143395,101.25,Housing,,GPJ8L,5/23/2022
FD6RD,Housing 837192694,303.98,Housing,,WDR82,4/6/2022
ODWV9,Housing 673185561,944.37,Housing,For everyday office use,K3MXR,10/8/2022
8VEJV,Housing 74747646,1271.8,Housing,Professional quality at its best – the best materials to update your cooking!,QLECR,1/22/2022
NA1DC,Housing 51212209,1088.12,Housing,Reams of high-bandwidth DDR4 RAM,7TOUB,5/29/2022
EJ537,Housing 51264335,573.11,Housing,for everyday use,9CR7S,8/7/2022
2XMIX,Housing 51435886,484.6,Housing,,QX1AY,1/31/2022
SVHQ9,Housing 688188320,1826.5,Housing,,QWEC7,3/28/2022
FNFQ2,Housing 56437055,172.39,Housing,make a great gift for kids 3 to 7 years olds,G2W79,8/29/2022
VLUQR,Housing 73317604,386.17,Housing,For your lovely pet,N169E,8/7/2022
N25NF,Housing 532147221,1083.28,Housing,For your lovely pet,UOQ2K,7/12/2022
UZFET,Housing 883171406,187.37,Housing,,RJWPA,10/5/2022
M71NZ,Housing 805135008,192.71,Housing,Machine Wash,1QXIF,8/14/2022
QNSC4,Housing 651147559,429.72,Housing,【11th Gen Intel Core i5-1135G7】,IH8AP,6/5/2022
9T3CA,Housing 50223420,1781.18,Housing,For your lovely pet,GJK7R,8/29/2022
I03YC,Housing 666130975,1082.39,Housing,for everyday use,6WQ8P,10/7/2022
R6JKG,Housing 95382926,853.88,Housing,,7WHJR,10/23/2022
MBEW1,Housing 99644924,429.6,Housing,,4Z5VC,1/3/2022
H23WH,Housing 87270689,1581.74,Housing,,20AR2,10/16/2022
BCBYO,Housing 975150008,1140.38,Housing,,AZQD3,9/25/2022
1ND3Q,Housing 70590516,1052.17,Housing,Suitable for all skin types,X7OBY,4/9/2022
NAIHX,Housing 963131734,280.72,Housing,for everyday use,1MXH9,1/17/2022
N9B9M,Housing 97256303,381.51,Housing,,7VWUB,7/10/2022
I3VNN,Housing 94284973,1511.4,Housing,For your lovely pet,GPJ8L,6/25/2022
C27CW,Housing 81053819,403.73,Housing,,519G2,4/14/2022
OII16,Housing 988140284,247.31,Housing,100% Synthetic,C8HL5,8/2/2022
1D80K,Housing 83663336,1459.8,Housing,,3KCY4,10/26/2022
SF1B4,Housing 856116287,1685.12,Housing,for everyday use,JY3X4,9/4/2022
YZ31A,Housing 926189372,599.62,Housing,,P1ZUA,2/13/2022
VAPZV,Housing 883192419,621.29,Housing,,AZQD3,7/1/2022
6TI88,Housing 72216472,1298.58,Housing,,67EYU,7/17/2022
DRJHJ,Housing 937124031,1410.2,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",K99E6,3/21/2022
UJPDH,Housing 72223121,1279.6,Housing,,NW0RD,2/19/2022
5R6BR,Housing 672168562,919.43,Housing,For your lovely pet,D7CK2,3/14/2022
EJCNK,Housing 727195340,1531.89,Housing,For everyday office use,7H518,4/25/2022
U5A9K,Housing 81945498,437.96,Housing,【11th Gen Intel Core i5-1135G7】,6KVU0,1/12/2022
GJM6C,Housing 90011571,1965.7,Housing,,XV9E8,7/18/2022
QKCEF,Housing 1000163809,539.68,Housing,for everyday use,P9Q6Y,8/18/2022
0YLHB,Housing 51154776,333.73,Housing,,G9Q2G,9/21/2022
X7VPU,Housing 73459469,1855.9,Housing,,9R01Y,5/1/2022
0CVFM,Housing 89756276,271.58,Housing,Set of 12,8MZDC,8/19/2022
80L7A,Housing 65634064,347.8,Housing,,GKTCF,7/26/2022
3BE5H,Housing 69473013,1603.5,Housing,100% Synthetic,C0UHU,7/27/2022
ZXVA5,Housing 58035739,1580.6,Housing,for everyday use,PB6Z6,6/10/2022
Z965A,Housing 60161766,704.46,Housing,For everyday office use,H7FKP,10/14/2022
K0ZJS,Housing 846188473,1266.83,Housing,,07RB8,8/8/2022
NA6UB,Housing 855125143,1993.6,Housing,"Unbox the package to find a soft, plush, sparkly doll!",A5WQ0,5/28/2022
APZ6T,Housing 62284015,127.73,Housing,,Q9QW3,7/5/2022
JU8WW,Housing 60920291,1636.25,Housing,,7CIPO,7/30/2022
53UTA,Housing 759143402,21.78,Housing,One of a kind stainless steel,SEOMV,6/18/2022
DB18L,Housing 58659301,122.98,Housing,,D73LI,10/10/2022
CKSJB,Housing 574162148,730.3,Housing,For your lovely pet,1QXIF,3/3/2022
OO7AU,Housing 955138922,161.45,Housing,,QR19G,8/25/2022
LPHJT,Housing 59943381,482.68,Housing,for everyday use,4FD3N,9/22/2022
KN7Y0,Housing 983131681,907.98,Housing,For everyday office use,3KLP3,7/25/2022
8YT6D,Housing 73089469,1798.74,Housing,make a great gift for kids 3 to 7 years olds,61A69,9/25/2022
4MGMW,Housing 853101171,1907.54,Housing,,4I4WY,8/24/2022
OB3ME,Housing 666182055,218.36,Housing,for everyday use,1H9CX,6/25/2022
K94V1,Housing 700110764,53.16,Housing,,4DGUK,1/8/2022
3QC9E,Housing 69468909,209.76,Housing,,VJL5E,6/18/2022
CXRW8,Housing 93562045,881.97,Housing,,SB3L6,9/21/2022
1EH6Y,Housing 65611515,157.6,Housing,,U5R93,9/3/2022
PYM3T,Housing 980133395,1724.73,Housing,,QWK5C,10/12/2022
NUUZE,Housing 90970776,61.25,Housing,,CTMHY,5/2/2022
9BL8X,Housing 798189153,1779.3,Housing,,K52E6,5/19/2022
Q6MD7,Housing 76117397,1370.19,Housing,,JEEP3,4/28/2022
WRBTR,Housing 726159942,777.66,Housing,,N7TIV,6/10/2022
JKWP6,Housing 669179461,1375.16,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",A8U7K,8/1/2022
K5764,Housing 60733610,1078.53,Housing,,U98HN,9/20/2022
X9EWO,Housing 63011339,553.74,Housing,,VZNU6,4/17/2022
W476F,Housing 532123199,1142.87,Housing,,0HGJC,9/9/2022
KPQIW,Housing 62834785,1293.81,Housing,,1HBQW,10/13/2022
22V1Z,Housing 88962634,1856.85,Housing,【11th Gen Intel Core i5-1135G7】,078O0,5/25/2022
KVGQU,Housing 661119579,512.52,Housing,100% Synthetic,PCL39,10/14/2022
LDM6O,Housing 948151677,1531.78,Housing,【11th Gen Intel Core i5-1135G7】,R2YNB,8/6/2022
RFAI5,Housing 92311896,672.61,Housing,,CZOIF,6/8/2022
CWHEN,Housing 90970033,833.21,Housing,,HYR8F,3/7/2022
A9A0M,Housing 67794943,1398.18,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",51WHM,1/1/2022
XJ11G,Housing 60352438,927.94,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",P8UM4,5/13/2022
OV00P,Housing 86528065,869.2,Housing,,ME7DC,5/9/2022
XDQX8,Housing 631146745,986.85,Housing,Reams of high-bandwidth DDR4 RAM,U98HN,1/15/2022
IDGSO,Housing 73372022,333.75,Housing,【11th Gen Intel Core i5-1135G7】,CYGAE,6/7/2022
MK038,Housing 69293030,1292.26,Housing,,TH583,6/9/2022
MLRRY,Housing 645169919,805.25,Housing,For everyday office use,DNCLE,5/31/2022
JXSW9,Housing 938153351,1788.83,Housing,,P8UOK,6/8/2022
GSCX5,Housing 895434,1911.38,Housing,for everyday use,GLVQG,1/29/2022
M1HKK,Housing 561158093,1633.37,Housing,Imported,19J34,1/28/2022
HYMQO,Housing 526154065,149.76,Housing,,LAAAV,8/6/2022
MKWMK,Housing 59669079,1990.4,Housing,【11th Gen Intel Core i5-1135G7】,G558B,10/26/2022
AUEJG,Housing 69665099,1484.88,Housing,Reams of high-bandwidth DDR4 RAM,W3UYZ,8/10/2022
ZXWEN,Housing 70456703,1129.6,Housing,For everyday office use,EJ2DW,2/26/2022
PCJ9R,Housing 558190464,1800.13,Housing,,5XI94,8/26/2022
3WLA0,Housing 60966496,563.95,Housing,cotton feels great for comfort that lasts.,426K8,4/8/2022
E6NMP,Housing 974123100,302.98,Housing,"【Display and Graphics】17.3 diagonal, FHD ",UEVYS,8/29/2022
4PEW5,Housing 617101314,1948.69,Housing,,2LVZE,10/23/2022
0WZ23,Housing 577192111,1022.82,Housing,for everyday use,CHM29,1/5/2022
JDH5Z,Housing 982135075,866.3,Housing,For everyday office use,6QJGV,1/11/2022
VLPM4,Housing 92670810,1883.27,Housing,Reams of high-bandwidth DDR4 RAM,9WYAI,10/3/2022
SAP32,Housing 68874555,675.87,Housing,,8Q3XK,9/23/2022
F3GZL,Housing 78819095,1440.17,Housing,One of a kind stainless steel,3XOCG,1/16/2022
HJLBR,Housing 743161832,455.7,Housing,【11th Gen Intel Core i5-1135G7】,N3780,10/11/2022
NMSJA,Housing 75058504,1960.3,Housing,Cushioning provides excellent shock absorption,WDR82,3/10/2022
HOO5C,Housing 542133848,1593.39,Housing,,R5OOD,3/26/2022
QOYAI,Housing 835139854,1032.13,Housing,"Unbox the package to find a soft, plush, sparkly doll!",142WW,6/19/2022
L8I6F,Housing 75215472,1061.12,Housing,Suitable for all skin types,LJNGC,1/28/2022
8DFT7,Housing 75374818,1977.76,Housing,Imported,CZOIF,7/25/2022
MYKNI,Housing 73081065,933.14,Housing,for everyday use,JEEP3,1/16/2022
GK1CA,Housing 6978740,678.27,Housing,,QX1AY,8/11/2022
90LCO,Housing 968137286,1411.36,Housing,For your lovely pet,EBQH2,1/17/2022
9GUPR,Housing 9937324,1579.2,Housing,Suitable for all skin types,VRWGT,9/3/2022
FXE7Z,Housing 882162385,281.6,Housing,,SW1FA,10/25/2022
JS3TE,Housing 62891008,983.69,Housing,for everyday use,WSHUH,9/17/2022
T3JLQ,Housing 870101272,994.65,Housing,One of a kind stainless steel,NW0RD,8/2/2022
6XAGM,Housing 58051086,1413.63,Housing,Professional quality at its best – the best materials to update your cooking!,4I4WY,5/12/2022
KXXD5,Housing 78645846,76.11,Housing,For everyday office use,TH583,3/2/2022
B4WGO,Housing 716186352,1930.24,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Y1GW1,10/19/2022
E86FY,Housing 76259503,1314.97,Housing,for everyday use,9R01Y,3/26/2022
P1XJK,Housing 814172426,1772.58,Housing,Reams of high-bandwidth DDR4 RAM,RBL4D,6/16/2022
RKS04,Housing 61387277,1505.32,Housing,,AXYFV,10/28/2022
09T7J,Housing 78060924,1577.15,Housing,,7B5PR,1/16/2022
PBZL5,Housing 528192876,266.3,Housing,,JQY1C,8/14/2022
0VVQH,Housing 712116608,317.2,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",V2EVU,9/12/2022
8C6Q8,Housing 568170121,571.32,Housing,Set of 10,QLECR,10/2/2022
ZQNEM,Housing 50853469,1328.95,Housing,Set of 10,PV7VX,6/9/2022
3AHA8,Housing 891138899,1119.84,Housing,,UHYY9,2/5/2022
JAPVF,Housing 618190472,307.85,Housing,One of a kind stainless steel,P8UM4,8/25/2022
Q1HVC,Housing 778163715,316.88,Housing,,7B5PR,8/29/2022
LQGG6,Housing 704116022,368.98,Housing,for everyday use,J83G9,1/27/2022
NIT83,Housing 571171411,1337.76,Housing,,OZBPO,5/3/2022
ZZ1Y8,Housing 61432996,1604.26,Housing,for everyday use,R5OOD,9/24/2022
JKHBF,Housing 713100872,608.74,Housing,,P3UIF,9/30/2022
42JI4,Housing 69389666,403.13,Housing,For everyday office use,KV5S9,6/10/2022
VVFC5,Housing 503174796,1034.36,Housing,,Z49UX,4/29/2022
UH2XI,Housing 95776454,1039.23,Housing,,LBHMK,8/7/2022
RB5IA,Housing 721130135,898.26,Housing,Set of 10,SB3L6,9/4/2022
DR5HM,Housing 955127684,1882.42,Housing,Set of 12,K3VTH,3/23/2022
ML5X1,Housing 717127060,927.22,Housing,,6K1RV,2/19/2022
GH8P1,Housing 956185667,267.88,Housing,,36SYH,9/20/2022
ZK8Q4,Housing 987182871,1326.14,Housing,,QMHWG,10/26/2022
GZEHZ,Housing 622173976,948.27,Housing,One of a kind stainless steel,84ZNK,2/6/2022
C4EE5,Housing 955111072,1021.86,Housing,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",LZLDV,5/26/2022
GUQ28,Housing 68794686,220.7,Housing,,DBPO3,1/7/2022
WHBXA,Housing 889108586,279.22,Housing,,X1CL7,2/18/2022
9JTUO,Housing 924139242,1785.91,Housing,,UVBIT,4/21/2022
5A8BD,Housing 91560553,151.94,Housing,,VX9SU,3/29/2022
7ZFBI,Housing 82247912,787.8,Housing,,DAWJW,6/5/2022
EUDZ5,Housing 6688255,18.56,Housing,,4GR4S,6/26/2022
JUALB,Housing 936175288,524.2,Housing,,YDQ24,7/26/2022
XCE4B,Housing 749186400,1506.35,Housing,,0BMS5,4/23/2022
AK80A,Housing 944151135,1853.75,Housing,,22VQ9,4/5/2022
JKTCO,Housing 99499765,1398.91,Housing,Imported,XU609,10/8/2022
C2YDP,Housing 787140910,257.85,Housing,Cushioning provides excellent shock absorption,A5WQ0,6/7/2022
G0CC5,Housing 664102320,1966.7,Housing,,DW4SG,8/17/2022
DJYQJ,Housing 770185897,1511.69,Housing,,FUR3X,6/17/2022
YZF44,Housing 980168122,120.96,Housing,,7TOUB,3/14/2022
PFA1M,Housing 66429345,1373.76,Housing,,OTAU7,1/18/2022
RJIT6,Housing 88682429,517.18,Housing,Set of 10,P8DKB,4/17/2022
VCNPI,Housing 50463561,1952.52,Housing,,GPYLB,5/1/2022
3LA1T,Housing 98873832,1567.94,Housing,make a great gift for kids 3 to 7 years olds,AZQD3,8/2/2022
1UU1K,Housing 94722015,1427.56,Housing,100% Synthetic,SHGFE,8/5/2022
HMH9V,Housing 93343482,1540.57,Housing,,8LJTP,10/27/2022
KZZIF,Housing 824182410,1216.85,Housing,,TJ6FX,4/17/2022
91PWF,Housing 59741193,79.47,Housing,Cushioning provides excellent shock absorption,WX9FX,1/17/2022
